text,simplified_text
"Jamoa kelishuvlarida: mehnatga haq toʻlash, mehnat shartlari va uni muhofaza qilish, mehnat va dam olish tartibi; narxlarning oʻzgarib borishiga, inflatsiya","Jamoa kelishuvlarda: mehnatga haq to'lash, shartlarini muhafaza qilish, mehnat va dam olish tartibi; narxlar o'zgarmas, inflatsiya."
"darajasiga, kelishuvlarda belgilab qoʻyilgan koʻrsatkichlarning bajarilishiga qarab mehnatga haq toʻlashni tartibga solish mexanizmi; eng kam miqdori qonunchilikda nazarda tutiladigan kompensatsiya",darajasiga kelishuvlarda belgilab qo'yilgan ko'rsatkichlarning bajarilishiga qarab mehnatga haq to'lashni tartibga solish mexanizmi; eng kam miqdori kompensatsiya
xodimlar hamda ularning oila aʼzolarini ijtimoiy himoya qilish boʻyicha maxsus tadbirlar; davlat korxonalarini xususiylashtirish chogʻida xodimlarning manfaatlariga rioya qilish; nogironligi,xodimlar va aʼzolarini ijtimoiy himoya qilish uchun maxsus tadbirlar; davlat korxonalarida xodimlarning manfaatlariga rioya qilish; nogironlik
boʻlgan shaxslar va yoshlar (shu jumladan oʻn sakkiz yoshga toʻlmagan shaxslar) mehnatidan foydalanish maqsadida ular uchun qoʻshimcha ish joylari tashkil,Bo'lgan shaxslar va o'n sakkiz yoshga to'lmaganlar uchun qo'shimcha ish joylari tashkil etilishi maqsadida mehnatidan foydalanish huquqlari berilgan.
etuvchi korxonalarga beriladigan imtiyozlar; (52-modda ikkinchi qismining toʻqqizinchi xatboshisi Oʻzbekiston Respublikasining 2022-yil 17-maydagi OʻRQ-770-sonli Qonuni tahririda — Qonunchilik maʼlumotlari milliy,etuvchi korxonalarga beriladigan imtiyozlar; (52-modda ikkinchi qismining toʻqqizinchi xati Oʻzbekiston Respublikasining 2022-yil 17-maydagi Qonuni tahririda — Qonunchilik maʼlumotlari milliy)
Jamoa kelishuvining amal qilish muddati Jamoa kelishuvi u imzolangan paytdan yoki kelishuvda belgilangan vaqtdan boshlab kuchga kiradi.,Jamoa kelishuvning amal qilish muddati jamoa kelishuvi imzolangan yoki belgilangan vaqtidan boshlab kuchga kiradi.
Jamoa kelishuvining amal qilish muddati taraflar tomonidan belgilanadi va u uch yildan oshib ketmasligi lozim. 55-modda.,Jamoa kelishuvining amal qilish muddatini taraflar belgilaydi va u 3-yilda o'zgartirilmaydi. 55-modda.
Jamoa kelishuvining amal qilish doirasi Jamoa kelishuvi vakolatli organlari shu kelishuvni tuzgan xodimlarga va ish beruvchilarga nisbatan tatbiq etiladi.,Jamoa kelishuvining amal qilish doirasi Jamoa kelishuvi vakolatli organlari tuzgan xodimlarga va ish beruvchilarga nisbatan ishlashni boshlaydi.
Uch taraflama kelishuv tuzilgan taqdirda uning amal qilishi ijro etuvchi hokimiyatning tegishli organiga ham tatbiq etiladi. 56-modda.,"Uch taraflama kelib chiqsa, uning amalini bajarish uchun hijoa holatga olib beruvchi hokimiyatning qo'llanma organiga ham vaqtinchalik talab qilinadi. 56-modda."
"Mehnat qilish huquqini amalga oshirish kafolatlari Davlat: ish bilan taʼminlash turini, shu jumladan turli mehnat rejimidagi ishni tanlash erkinligini; ishga","Mehnat qilish huquqini amalga oshirish kafolatlari: davlatning ishlari bilan taʼminlanishi, boshqa mehnat rejimlarida ishtirok etish erkinligi; ishga tushish."
"ishga joylashishga bepul yordam berishni; har kimga kasbga va ishga ega boʻlishda, mehnat qilish va ish bilan taʼminlanish shart-sharoitlarida, mehnatga","bepul yordam berishni; har kimga kasbga va ishga ega boʻlishda, mehnat qilish va ish bilan taʼminlanish uchun shartlar boʻlib turadi."
"haq olishda, xizmat pogʻonasidan yuqorilab borishda teng imkoniyatlar yaratishni; yangi kasbga (mutaxassislikka) bepul oʻqitishni, mahalliy mehnat organlarida yoki ularning yoʻllanmasi","haq olishda va xizmat pogʻonasidan yuqorilab borishda teng imkoniyatlar yaratishni; bepul yangi kasbga (mutaxassislikka) oʻqitishni, mahalliy mehnat organlari boʻylab yoki ularning yoʻllanmasi"
"(58-modda birinchi qismining yettinchi xatboshisi Oʻzbekiston Respublikasining 2021-yil 21-apreldagi OʻRQ-683-sonli Qonuni tahririda — Qonunchilik maʼlumotlari milliy bazasi, 21.04.2021-y., 03/21/683/0375-son) haq",Oʻzbekiston Respublikasining 2021-yil 21-apreldagi OʻRQ-683-sonli qonun tahririda Qonunchilik maʼlumotlari milliy bazasi haq.
toʻlanadigan jamoat ishlarida qatnashish uchun muddatli mehnat shartnomalari tuzish imkoniyatini kafolatlaydi.,Toʻlanadigan jamoat ishlari uchun muddatli mehnat shartnomalarini tuzish imkoniyatini kafolatlaydi.
Mehnat shartnomasi alohida asoslar boʻyicha bekor qilingan taqdirda xodimlarga moddiy madad berish uchun qoʻshimcha kafolatlar beriladi ( 67-modda ).,Mehnat shartnomasi ichida asosli asoslar bo'lgan holatlarda xodimlarga moddya yordam berish uchun qo'shimcha kafolatlar beriladi (67-moddada).
LexUZ sharhi Qarang: Oʻzbekiston Respublikasining “Aholi bandligi toʻgʻrisida”gi Qonunining 49-moddasi 65-modda.,"LexUZ ni o'qishingiz kerak: O'zbekiston Respublikasining ""Aholi bandligi haqida"" qonuni 49-usul 65-usul."
"Ishsizlik nafaqasi toʻlashni bekor qilish, toʻxtatib qoʻyish va uning miqdorini kamaytirish Ishsizlik nafaqasini toʻlash quyidagi hollarda tugatiladi: ishsiz shaxs ishga","Ishsizlik nafaqasi to'lashni bekor qilish, to'xtatib qo'yish va uning miqdorini kamaytirish Ishsizlik nafaqasini to'lash quyidagi hollarda tugatiladi: ishsiz shaxs ishga chiqishi mumkin."
joylashganda; ishsiz shaxs maqbul ishga doir ikkita taklifni rad etganda; ishsiz shaxslar tadbirkorlik faoliyatiga jalb etishga va shaxsiy tomorqa yer,joylashganda; ishsiz shaxs ikki taklifni rad etganda; ishsiz shaxslar tadbirkorlik faoliyatiga qo'llanma berishga va shaxsiy tomorqa yechim topishi uchun
uchastkalarini rivojlantirishga qaratilgan subsidiyalarni olganda; ishsiz shaxslar tomonidan Oʻzbekiston Respublikasi Bandlikka koʻmaklashish davlat jamgʻarmasining mablagʻlari va qonunchilikda taqiqlanmagan boshqa manbalar,uchastkalarini rivojlantirishga qaratilgan subsidiyalarni olganda; ishsiz shaxslar tomonidan Oʻzbekiston Respublikasi Bandlikka koʻmaklashish davlat jamgʻarmasining mablagʻlari va qonunchilikda taqiqlanmagan boshqa manbalar tashlandi.
"21.04.2021-y., 03/21/683/0375-son) ishsiz shaxs Oʻzbekiston Respublikasidan tashqarida vaqtinchalik mehnat faoliyatini amalga oshirganda; ishsiz shaxs oʻzini oʻzi band qilgan shaxs sifatida","21.04.2021-y., 03/21/683/0375-son) ishsiz shaxs Oʻzbekiston Respublikasidan tashqarida vaqtinchalik mehnat faoliyatini amalga oshirganda; ishsiz shaxs o'zini o'zi band qilgan."
roʻyxatga olinganda; ishsiz shaxs qonunchilikka muvofiq pensiya taʼminoti huquqiga ega boʻlganda (pensiya turidan qatʼi nazar); (66-modda birinchi qismining sakkizinchi xatboshisi,roʻyxatga olinganda; ishsiz shaxs qonunchilikka muvofiq pensiya taʼminoti huquqiga ega boʻlganda (pensiya turidan qatʼi nazar); (66-modda birinchi qismining sakkizinchi xati)
— 294-moddalari va Oʻzbekiston Respublikasining “Fuqarolarning davlat pensiya taʼminoti toʻgʻrisida”gi Qonuni . ishsiz shaxs sudning hukmi bilan ozodlikdan mahrum etish,"294-moddalari va O'zbekiston Respublikasining ""Fuqarolarning davlat pensiya ta'minotini tashkil etish"" Qonuni ishli emas shaxs uchun sodda hukmi bilan ozodligidan mahrum etish."
yoki axloq tuzatish ishlari tarzidagi jazoga hukm qilinganda; ishsiz shaxs ishsizlik nafaqasini olib turgan davrida vaqtincha bajariladigan ishga mahalliy mehnat,yoki axloq tuzatish ishlari tarzidagi jazoga hukm qilinganda; ishsiz shaxs ishsizlik nafaqasini olib turgan davrida vaqtincha bajariladigan mahalliy mehnatga keltiriladi.
organini bu haqda xabardor qilmay joylashganda; ishsiz shaxs vafot etganda. (66-moddaning birinchi qismi Oʻzbekiston Respublikasining 2020-yil 20-oktabrdagi OʻRQ-642-sonli Qonuni tahririda,organini bu haqda xabardor qilmay joylashganda; ishsiz shaxs vafot etganda. (O'zbekiston Respublikasining 2020-yil 20-oktyabrda tushuntirilgan O'RQ-642-sonli Qonuni tahririda)
"Quyidagi hollarda ishsizlik nafaqasini toʻlash toʻxtatib turiladi: ishsiz shaxs kasbga oʻrganish, qayta tayyorlash yoki malakasini oshirishga yuborilgan boʻlsa, — stipendiya","Quyidagi holda ishsizlik nafaqasini to'lash to'xtatiladi: ishsiz shaxs kasbga o'rganish yoki malakasini oshirishga yuborilgan bo'lsa, — stipendiya"
"olib kasb oʻrganish, qayta tayyorlashdan oʻtish yoki malaka oshirish davrida; (66-moddaning ikkinchi qismi ikkinchi xatboshisi Oʻzbekiston Respublikasining 1998-yil 29-avgustdagi 681-I-son",Olib kasb oʻrganish yoki malaka oshirish davrida; (66-moddaning ikkinchi qismi ikkinchi xatboshisi Oʻzbekiston Respublikasining 1998-yil 29-avgustdagi 681-I-son
"muassasada boʻlgan davrida; ishsiz shaxs haq toʻlanadigan jamoat ishlarida ishtirok etayotgan boʻlsa, — bunday ishlarda ishtirok etgan davrida. (66-moddaning ikkinchi","muassasada bo'lgan davrida; ishsiz shaxs haq to'lanadigan jamoat ishlarida ishtirok etayotgan bo'lsa, bunday ishlarda ishtirok etgan davrida."
"qismi Oʻzbekiston Respublikasining 1998-yil 25-dekabrdagi 729-I-son Qonuniga muvofiq toʻrtinchi xatboshi bilan toʻldirilgan — Oliy Majlis Axborotnomasi, 1999-y., 1-son, 20-modda) LexUZ","O'zbekiston Respublikasining 1998-yil 25-dekabr 729-Qonuniga e'tibor bera olgan to'rtinchi xatboshi bilan to'ldirilgan — Oliy Majlis Axborotnomasi, 1999-y., 1-son, 20-modda) LexUZ"
sharhi Qarang: Oʻzbekiston Respublikasi “Aholi bandligi toʻgʻrisida”gi Qonunining 56-moddasi .,"Qarang: Oʻzbekiston Respublikasi ""Aholi bandligi toʻgʻrisida"" qonunining 56-moddasi."
Mehnat shartnomasi alohida asoslarga koʻra bekor qilinganda moddiy madad berish uchun belgilangan qoʻshimcha kafolatlar Mehnat shartnomasi: xodim yangi mehnat shartlari,Mehnat shartnomasida asosiy taqdirga bekor qilinganda moddiy madad berish uchun qoʻshimcha kafolatlar belgilangan. Mehnat shartnomasi: xodim yangi mehnat shartlari.
"asosida ishlashni davom ettirishni rad etganligi sababli (89-moddaning toʻrtinchi qismi ); texnologiyadagi, ishlab chiqarish va mehnatni tashkil etishdagi oʻzgarishlar, xodimlar","asosida ishlashni davom ettirishni rad etganligi sababli (89-moddaning toʻrtinchi qismi); texnologiyadagi, ishlab chiqarish va mehnatni tashkil etishdagi oʻzgarishlar xodimlarga etibor berilishi uchun."
xodimning malakasi yetarli boʻlmaganligi yoki sogʻligʻi holatiga koʻra bajarayotgan ishiga noloyiqligi sababli (100-modda ikkinchi qismining 2-bandi ); shu ishni ilgari,Xodimning malakasi yoki sog'lig'i holatida bajarayotgan ishiga noloyiqligi sababli (100-moddadagi ikkinchi qismining 2-bandi); shu ishni ilgari.
bajarib kelgan xodim ishga qayta tiklanishi sababli (106-moddaning 2-bandi ) bekor qilingan hollarda ish qidirish davrida ikki oydan ortiq boʻlmagan,Xodim ishga qayta tiklanishi sababli (106-moddaning 2-bandi) bekor qilingan holda ish qidirish davrida ikki oydan ortiq boʻlmagan.
"Ushbu moddaning birinchi qismida nazarda tutilgan kafolatlar korxona rahbari, uning oʻrinbosarlari, bosh buxgalter bilan, korxonada bosh buxgalter lavozimi boʻlmagan taqdirda","Bu moddagi birinchi qismida, kafolatlar korxona rahbari va uning oʻrinbosarlari bilan nazarda tutilishi kerek. Agar korxonada bosh buxgalter lavozimi bo‘lmagan bo'lsa."
"esa, bosh buxgalter vazifasini amalga oshiruvchi xodim bilan tuzilgan mehnat shartnomasi mulkdorning almashishi sababli bekor qilingan (100-modda ikkinchi qismining 6-bandi","Esa, bosh buxgalter vazifasini amalga oshiruvchi xodim bilan tuzilgan mehnat shartnomasi mulkdorning almashishi sababli bekor qilingan (100-modda ikkinchi qismining 6-bandi)."
"5-son, 89-modda) Agar ushbu moddaning birinchi va ikkinchi qismida koʻrsatilgan xodimlar mehnat shartnomasi bekor qilingan kundan boshlab oʻttiz kalendar kun","5-son, 89-modda) Agar ushbu moddaning birinchi va ikkinchi qismida koʻrsatilgan xodimlar mehnat shartnomasi bekor qilingan kundan boshlab oʻtib kalendar kunicha."
oldingi ish joylaridan oʻrtacha ish haqi olish huquqiga ega boʻladilar. (67-moddaning uchinchi qismi Oʻzbekiston Respublikasining 2020-yil 20-oktabrdagi OʻRQ-642-sonli Qonuni tahririda,Oldingi ish joylarda oʻrtacha ishlash huquqiga ega boʻladilar. (2020-yilda 20-oktyabrda tahrirlangan OʻRQ-642-sonli Qonun tahririda)
"— Qonun hujjatlari maʼlumotlari milliy bazasi, 20.10.2020-y., 03/20/642/1396-son — 2021-yil 21-yanvardan kuchga kiradi) Ushbu moddaning birinchi va ikkinchi qismida koʻrsatilgan","Qonun hujjatlari ma'lumotlari milliy bazasi, 20.10.2020-y., 03/20/642/1396-son. Ushbu moddaning birinchi va ikkinchi qismida ko'rsatilgan, 2021-yil 21-yanvardan kuchga kiradi."
"xodimlarga uch oy mobaynida maqbul keladigan ish topib berilmagan taqdirda, ular ishsiz deb eʼtirof etiladilar. (67-moddaning toʻrtinchi qismi Oʻzbekiston Respublikasining","Xodimlarga uch oy mobaynida ish topilmagan boʻlsa, ular ishsiz deb eʼtirof etiladilar. (67-moddaning toʻrtinchi qismi Oʻzbekiston Respublikasining)"
"1998-yil 29-avgustdagi 681-I-son Qonuni tahririda — Oliy Majlis Axborotnomasi, 1998-y., 9-son, 181-modda) Ushbu moddaning birinchi va ikkinchi qismida koʻrsatilgan, mehnat","1998-yilda 29-avgustdagi 681-I-son Qonuni tahririda (Oliy Majlis Axborotnomasi, 1998-y., 9-son, 181-modda) bu moddaning birinchi va ikkinchi qismida koʻrsatilgan, mehnat"
shartnomasi bekor qilingandan keyin oʻttiz kalendar kun ichida mahalliy mehnat organida roʻyxatga olingan va kasbi boʻyicha qayta oʻqitilayotgan yoki ishlab,Shartnomasidan keyin oʻttiz kalendar kunida mahalliy mehnat boshqaruvda roʻyxatga olingan va kasbi boʻyicha qayta oʻqitilayotgan yoki ishlab chiqilayotgan.
chiqarishdan ajralgan holda malakasini oshirayotgan xodimlarga qonunchilikda nazarda tutilgan tartibda va miqdorlarda stipendiya toʻlanadi. (67-moddaning beshinchi qismi Oʻzbekiston Respublikasining 2021-yil,chiqarishdan ajralgan xodimlarga nazarda tutilgan stipendiya to'lanadi. Malakasini oshirayotganlar uchun tartibda va miqdorlarda qonunchilikda nazarda tutiladilar. (67-moddaning beshinchi qismi O'zbekiston Respublikasining 2021-yil)
LexUZ sharhi Qarang: Oʻzbekiston Respublikasining “Toʻlovga qobiliyatsizlik toʻgʻrisida”gi Qonuni 149-moddasining toʻrtinchi qismi .,"LexUZ sharhi: Oʻzbekiston Respublikasining ""Toʻlovga qobiliyatsizlik"" qonunining 149-moddasi toʻrtinchi qismi."
"Aholining ayrim toifalari uchun ishga joylashishdagi qoʻshimcha kafolatlar Davlat: ijtimoiy himoyaga muhtoj, ish topishda qiynalayotgan va mehnat bozorida teng sharoitlarda","Aholining bir nechta toifasiga qoʻshimcha kafolat beramiz: ijtimoiy himoya, ish topishga uyishga yoki mehnat bozoridagi teng shartlarga ega bolishga."
"raqobatlashishga qodir boʻlmagan shaxslarga, shu jumladan oʻn toʻrt yoshga toʻlmagan bolalari, nogironligi boʻlgan bolalari bor yolgʻiz otaga yoki onaga, shuningdek","raqobatlashishga qodir bo'lmagan shaxslarga, o'tkazilgan bolalarga, nogironlikdagi bolalarga yolg'iz otaga yoki onaga bor."
koʻp bolali oilalarning ota-onalariga; (68-modda birinchi qismining ikkinchi xatboshisi Oʻzbekiston Respublikasining 2020-yil 5-oktabrdagi OʻRQ-640-sonli Qonuni tahririda — Qonun hujjatlari maʼlumotlari,koʻp bolali oilalarning ota-onalariga; (68-modda birinchi qismining ikkinchi xati Oʻzbekiston Respublikasining 2020-yil 5-oktyabrda tahrirlangan 640-sonli Qonuni tahririda — Qonun hujjatlari maʼlumotlari
"milliy bazasi, 05.10.2020-y., 03/20/640/1348-son) oʻrta maxsus taʼlim muassasalarini tamomlagan yoshlarga, shuningdek kasb-hunar taʼlimi muassasalarining va oliy taʼlim muassasalarining davlat grantlari","milliy bazasi 05.10.2020-yilda 03/20/640/1348-sonli, oʻrta maxsus ta'lim muassasalarini tamomlagan yoshlarga va kasb-hunar va oliy ta'lim muassasalariga davlat grantlar berildi."
boʻyicha taʼlim olgan bitiruvchilariga; (68-moddaning birinchi qismi uchinchi xatboshisi Oʻzbekiston Respublikasining 2018-yil 23-iyuldagi OʻRQ-486-sonli Qonuni tahririda — Qonun hujjatlari maʼlumotlari,bo'yicha ta'lim olgan bitiruvchilariga; (68-moddaning birinchi qismi uchinchi xatboshisi O'zbekiston Respublikasining 2018-yil 23-iyul kuni tushuntirilgan Qonun hujjatlari ma'lumotlari tahririda)
"milliy bazasi, 24.07.2018-y., 03/18/486/1559-son) Oʻzbekiston Respublikasi Qurolli Kuchlaridan muddatli harbiy xizmatdan boʻshatilganlarga; nogironligi boʻlgan shaxslarga va pensiya yoshiga yaqinlashib qolgan","24.07.2018-y. milliy bazasi 03/18/486/1559-son. O'zbekiston Respublikasi qurolli kuchlaridan muddatli harbiy xizmatdan bo'shatilganlarga, nogironligi bo'lgan shaxslarga va pensiya yoshiga yaqinlashib qolgan ga yuritiladi."
"shaxslarga; (68-modda birinchi qismining beshinchi xatboshisi Oʻzbekiston Respublikasining 2022-yil 17-maydagi OʻRQ-770-sonli Qonuni tahririda — Qonunchilik maʼlumotlari milliy bazasi, 18.05.2022-y., 03/22/770/0424-son)","Shaxslarga; (68-modda birinchi qismining beshinchi xatboshisi Oʻzbekiston Respublikasining 2022-yil 17-maydagi OʻRQ-770-sonli Qonuni tahririda — Qonunchilik maʼlumotlari milliy bazasi, 18.05.2022-y., 03/22/770/0424-son)"
"Davlat xavfsizlik xizmati, Milliy gvardiyasi va Favqulodda vaziyatlar vazirligi qoʻshinlaridan boʻshatilgan kunidan boshlab uzogʻi bilan uch oy ichida ishga joylashish","Davlat xavfsizlik xizmati, Milliy gvardiya va Favqulodda vaziyatlar vazirligi qo'shinlaridan bo'hatilgan kunidan boshlab uzog'i bilan uch oy ichida ishga joylashish."
"masalasida ish beruvchiga murojaat etgan boʻlsa, avvalgi ish joyida ishga joylashish huquqiga egadir. (68-moddaning toʻrtinchi qismi Oʻzbekiston Respublikasining 2021-yil 29-oktabrdagi","Agar ish beruvchiga murojaat etgan bo'lsa, avvalgi ish joyida ishlash huquqiga ega. (68-moddaning 4-qismi O'zbekiston Respublikasining 2021-yil 29-oktyabr tarixi)"
"OʻRQ-726-sonli Qonuni tahririda — Qonunchilik maʼlumotlari milliy bazasi, 30.10.2021-y., 03/21/726/1001-son) Harbiy xizmatga chaqirilgan (oʻtgan), lekin keyinchalik rezervga boʻshatilgan yoki isteʼfoga","Qonuni tahririda — Qonunchilik ma'lumotlari milliy bazasi, 30.10.2021-y., 03/21/726/1001-son. Harbiy xizmatga chaqirilgan (o'tgan), lekin keyinchalik rezervga bo'shatilgan yoki iste'foga qoldi."
"chiqqan xodim, agar uning harbiy xizmatga chaqirilgan (oʻtgan) kunidan boshlab uch oydan ortiq vaqt oʻtmagan boʻlsa, avvalgi ish joyiga (lavozimiga)","chiqqan xodim, agar uning harbiy xizmatga chaqirilgan (oʻtgan) kunidan boshlab uch oydan ortiq vaqt oʻtmagan boʻlsa, avvalgi ish joyiga (lavozimiga) qaytishga majbur."
"qaytib kelish huquqiga ega. (68-moddaning uchinchi qismi Oʻzbekiston Respublikasining 2009-yil 22-dekabrdagi OʻRQ-238-sonli Qonuni tahririda — OʻR QHT, 2009-y., 52-son, 553-modda)","qaytib kelish huquqiga ega. (O'zbekiston Respublikasining 2009-yil 22-dekabrdagi O'RQ-238-sonli qonun tahririda — O'R QHT, 52-son, 553-modda)"
"Korxona qayta tashkil etilganda harbiy xizmatdan boʻshatilgan shaxslarni ishga joylashtirishni uning huquqiy vorisi, korxona tugatilganda esa — mahalliy mehnat organi","Korxona qayta tashkil etilganda, harbiy xizmatdan boʻshatilgan shaxslarni ishga joylashtirish huquqi bor. Korxona tugatilganda esa, mahalliy mehnat organi yetkazadi."
"amalga oshiradi. (68-moddaning toʻrtinchi qismi Oʻzbekiston Respublikasining 1999-yil 20-avgustdagi 832-I-son Qonuni tahririda — Oliy Majlis Axborotnomasi, 1999-y., 9-son, 229-modda) LexUZ","Amalga oshiradi. (68-moddaning toʻrtinchi qismi Oʻzbekiston Respublikasining 1999-yil 20-avgustdagi 832-I-son Qonuni tahririda — Oliy Majlis Axborotnomasi, 1999-y., 9-son, 229-modda) LexUZ"
sharhi Qarang: Oʻzbekiston Respublikasi “Aholi bandligi toʻgʻrisida”gi Qonunining 43-moddasi .,"Qarang: O'zbekistonda ""Aholi bandligi haqida"" qonun 43-moddasi."
"Mehnat shartnomasini tuzish haqidagi kelishuvdan oldin qoʻshimcha holatlar (tanlovdan oʻtish, lavozimga saylanish va boshqalar) boʻlishi mumkin.","Kelishuvdan oldin tanlovdan o'tish, lavozimga saylanish va boshqalar bo'lishim mumkin. Mehnat shartnomasini tuzish haqidagi kelishuvda."
LexUZ sharhi Qarang: Oʻzbekiston Respublikasi Vazirlar Mahkamasining 1997-yil 11-martdagi 133-sonli qaror bilan tasdiqlangan Mehnat shartnomasi (kontrakt)ning namunaviy shakli.,LexUZ sharhi Qarang: Oʻzbekiston Respublikasi Vazirlar Mahkamasining 1997-yil 11-martdagi 133-sonli qaror bilan tasdiqlangan mehnat shartnomasi (kontrakt)ning namunaviy shakli.
Mehnat shartnomasi bir xil kuchga ega boʻlgan kamida ikki nusxada tuziladi va har bir tarafga saqlash uchun topshiriladi.,Mehnat shartnomasi ikki nusxada tuziladi va har biriga saqlanishi uchun qayta qo'llaniladi.
Mehnat shartnomasining muddati Mehnat shartnomalari: nomuayyan muddatga; besh yildan ortiq boʻlmagan muayyan muddatga; muayyan ishni bajarish vaqtiga moʻljallab tuzilishi mumkin.,Mehnat shartnomasining muddati: nomuayyan muddatga; besh yilda olmay bo'lgan muayyan muddatga; ishni bajarish vaqtiga mojllab tuzilishi mumkin.
"Agar mehnat shartnomasida uning amal qilish muddati koʻrsatilmagan boʻlsa, mehnat shartnomasi nomuayyan muddatga tuzilgan deb hisoblanadi.","Agar mehnat shartnomasida nechta kuni ishlab borishi kiritilmagan bo'lsa, shartnomaga tozir vaqti belgilanib turadi."
"Nomuayyan muddatga tuzilgan mehnat shartnomasi xodimning roziligisiz muayyan muddatga, shuningdek muayyan ishni bajarish vaqtiga moʻljallab qayta tuzilishi mumkin emas.","Nomuayyan muddatga tuzilgan mehnat shartnomasi xodimning roziligisiz muayyan muddatga, unda muayyan ishni bajarish vaqtiga qayta tuzilishi mumkin emas."
Ishga qabul qilishga yoʻl qoʻyiladigan yosh Ishga qabul qilishga oʻn olti yoshdan yoʻl qoʻyiladi. (77-moddaning birinchi qismi Oʻzbekiston Respublikasining 2009-yil,Ishga qabul qilishga oltinchi yoshdan boshlanadi. (77-moddaning birinchi qismi Oʻzbekiston Respublikasining 2009-yili)
"24-dekabrdagi OʻRQ-239-sonli Qonuni tahririda — OʻR QHT, 2009-y., 52-son, 554-modda) Yoshlarni mehnatga tayyorlash uchun umumtaʼlim maktablari, oʻrta maxsus, kasb-hunar oʻquv","24-dekabrda O'Q-239-sonli qonuni tahririda — O'R QHT, 2009-yil, 52-son, 554-modda) Yoshlarni mehnatga tayyorlash uchun umumta'momlik maktablari va o'rtacha maxsus, kasb-hunar o'quv yo'llarida."
"yurtlarining oʻquvchilarini ularning sogʻligʻiga hamda maʼnaviy va axloqiy kamol topishiga ziyon yetkazmaydigan, taʼlim olish jarayonini buzmaydigan yengil ishni oʻqishdan boʻsh",Yurtlarining o'quvchilarini sog'ligiga va kamol topishiga zarur bo'lgan yengil ishni o'qishdan bo'shataydi.
vaqtida bajarishi uchun — ular oʻn besh yoshga toʻlganidan keyin ota-onasidan birining yoki ota-onasining oʻrnini bosuvchi shaxslardan birining yozma roziligi,"Vaqtida bajarishi uchun — ular o'ngacha yoshga to'lganidan keyin, ota-onasidan birinin yoki ota-onasining joyini qayta bo'suvchi shaxslardan birining yozma roziligi."
Ishga qabul qilishni gʻayriqonuniy ravishda rad etishga yoʻl qoʻyilmasligi Ishga qabul qilishni gʻayriqonuniy ravishda rad etishga yoʻl qoʻyilmaydi.,Ишга кабул иланин гувернерга жалбунга рўйёги турганги ёки эмас.
Quyidagilar ishga qabul qilishni gʻayriqonuniy ravishda rad etish deb hisoblanadi: ushbu Kodeks 6-moddasining birinchi qismi talablarining buzilishi; ish beruvchi tomonidan,Quyidagilar gʻayriqonuniy ravishda ishga qabul qilishni rad etiladi: Kodeks 6-moddasining birinchi qismi talablarining buzilishi; ish beruvchi tomonidan.
taklif qilingan shaxslarni ishga qabul qilmaslik; ish beruvchi qonunga muvofiq mehnat shartnomasi tuzishi shart boʻlgan shaxslarni (belgilangan minimal ish joylari,"ishga qabul qilmaslik; qononga muvofiqligini tekshirib, mehnat shartnomasi tuzish shart boʻlgan shaxslarni."
hisobidan ishga yuborilgan shaxslarni; homilador ayollarni va uch yoshga toʻlmagan bolalari bor ayollarni — tegishincha ularning homiladorligi yoki bolasi borligini,hisobidan ishga yuborilgan shaxslarni; homilador ayollarni va uch yoshga toʻlmagan bolalari bor ayollarni — tegishincha ularning homiladorligi yoki bolasi mavjud boʻlishi mumkin.
"vaj qilib) ishga qabul qilmaslik; LexUZ sharhi Qarang: mazkur Kodeksning 224-moddasi , Oʻzbekiston Respublikasi Vazirlar Mahkamasining 2017-yil 5-dekabrdagi 965-sonli qarori","Vaj qilib ishga qabul qilmaslik. LexUZ sharhi: Kodeksning 224-moddasi, Oʻzbekiston Vazirlar Mahkamasining 2017-yil 5-dekabr 965-sonli qarori."
"bilan tasdiqlangan Ijtimoiy muhofazaga muhtoj, ish topishda qiynalayotgan va mehnat bozorida teng shartlarda raqobatlasha olmaydigan shaxslarni ishga joylashtirish uchun ish","Ijtimoiy muhofazaga muhtoj, ish topishda qiynalayotgan va mehnat bozorida teng shartlarda raqobatlasha olmaydigan shaxslarni ishga joylashtirish uchun ish"
oʻrinlarining eng kam sonini belgilash va zaxiraga qoʻyish tartibi toʻgʻrisidagi nizom . (78-moddaning ikkinchi qismi toʻrtinchi xatboshisi Oʻzbekiston Respublikasining 1998-yil,
"29-avgustdagi 681-I-son Qonuni tahririda — Oliy Majlis Axborotnomasi, 1998-y., 9-son, 181-modda) muqaddam sudlangan shaxslarni ishga qabul qilmaslik, bundan qonunchilikda nazarda","29-avgustdagi 681-I-son Qonuni tahririda (Oliy Majlis Axborotnomasi, 1998-yil, 9-son, 181-modda) muqaddam sudlangan shaxslarni ishga qabul qilmaslik, bundan qonunchilikda nazarda."
"tutilgan hollar mustasno, yoxud shaxslarni ularning yaqin qarindoshlari sudlanganligi munosabati bilan ishga qabul qilmaslik; (78-modda ikkinchi qismining beshinchi xatboshisi Oʻzbekiston",tutilgan hollar mustasno yoki shaxslarni ularning yaqin qarindoshlari sudlanganligi bilan ishga qabul qilmaslik; (78-modda ikkinchi qismining beshinchi xatboshi Oʻzbekiston)
